AveragePrice,Date,Region,Type,Year
1.79,04/12,Atlanta,organic,2015
1.74,04/05,Atlanta,organic,2015
1.88,03/29,Atlanta,organic,2015
1.62,03/22,Atlanta,organic,2015
1.19,03/15,Atlanta,organic,2015
1.22,03/08,Atlanta,organic,2015
1.22,03/01,Atlanta,organic,2015
1.38,02/22,Atlanta,organic,2015
1.46,02/15,Atlanta,organic,2015
1.29,02/08,Atlanta,organic,2015
1.44,02/01,Atlanta,organic,2015
1.87,01/25,Atlanta,organic,2015
1.86,01/18,Atlanta,organic,2015
1.84,01/11,Atlanta,organic,2015
1.76,01/04,Atlanta,organic,2015
1.51,12/27,BaltimoreWashington,organic,2015
1.67,12/20,BaltimoreWashington,organic,2015
1.72,12/13,BaltimoreWashington,organic,2015
1.46,12/06,BaltimoreWashington,organic,2015
1.32,11/29,BaltimoreWashington,organic,2015
1.39,11/22,BaltimoreWashington,organic,2015
1.64,11/15,BaltimoreWashington,organic,2015
1.65,11/08,BaltimoreWashington,organic,2015
1.6,11/01,BaltimoreWashington,organic,2015
1.59,10/25,BaltimoreWashington,organic,2015
1.54,10/18,BaltimoreWashington,organic,2015
1.53,10/11,BaltimoreWashington,organic,2015
1.63,10/04,BaltimoreWashington,organic,2015
1.7,09/27,BaltimoreWashington,organic,2015
1.35,09/20,BaltimoreWashington,organic,2015
1.6,09/13,BaltimoreWashington,organic,2015
1.58,09/06,BaltimoreWashington,organic,2015
1.6,08/30,BaltimoreWashington,organic,2015
1.72,08/23,BaltimoreWashington,organic,2015
1.75,08/16,BaltimoreWashington,organic,2015
1.66,08/09,BaltimoreWashington,organic,2015
1.72,08/02,BaltimoreWashington,organic,2015
1.72,07/26,BaltimoreWashington,organic,2015
1.81,07/19,BaltimoreWashington,organic,2015
1.7,07/12,BaltimoreWashington,organic,2015
1.69,07/05,BaltimoreWashington,organic,2015
1.7,06/28,BaltimoreWashington,organic,2015
1.69,06/21,BaltimoreWashington,organic,2015
1.61,06/14,BaltimoreWashington,organic,2015
1.71,06/07,BaltimoreWashington,organic,2015
1.69,05/31,BaltimoreWashington,organic,2015
1.69,05/24,BaltimoreWashington,organic,2015
1.42,05/17,BaltimoreWashington,organic,2015
1.7,05/10,BaltimoreWashington,organic,2015
1.66,05/03,BaltimoreWashington,organic,2015
1.7,04/26,BaltimoreWashington,organic,2015
1.64,04/19,BaltimoreWashington,organic,2015
1.66,04/12,BaltimoreWashington,organic,2015
1.63,04/05,BaltimoreWashington,organic,2015
1.63,03/29,BaltimoreWashington,organic,2015
1.25,03/22,BaltimoreWashington,organic,2015
1.59,03/15,BaltimoreWashington,organic,2015
1.56,03/08,BaltimoreWashington,organic,2015
1.58,03/01,BaltimoreWashington,organic,2015
1.19,02/22,BaltimoreWashington,organic,2015
1.56,02/15,BaltimoreWashington,organic,2015
1.43,02/08,BaltimoreWashington,organic,2015
1.15,02/01,BaltimoreWashington,organic,2015
1.41,01/25,BaltimoreWashington,organic,2015
1.41,01/18,BaltimoreWashington,organic,2015
1.22,01/11,BaltimoreWashington,organic,2015
1.29,01/04,BaltimoreWashington,organic,2015
0.91,12/27,Boise,organic,2015
1.17,12/20,Boise,organic,2015
0.87,12/13,Boise,organic,2015
1.36,12/06,Boise,organic,2015
1.34,11/29,Boise,organic,2015
1.54,11/22,Boise,organic,2015
1.78,11/15,Boise,organic,2015
1.5,11/08,Boise,organic,2015
1.16,11/01,Boise,organic,2015
1.95,10/25,Boise,organic,2015
2.05,10/18,Boise,organic,2015
1.95,10/11,Boise,organic,2015
1.83,10/04,Boise,organic,2015
2.02,09/27,Boise,organic,2015
1.93,09/20,Boise,organic,2015
2.28,09/13,Boise,organic,2015
2.35,09/06,Boise,organic,2015
1.47,08/30,Boise,organic,2015
2.29,08/23,Boise,organic,2015
1.69,08/16,Boise,organic,2015
1.91,08/09,Boise,organic,2015
2.15,08/02,Boise,organic,2015
2.08,07/26,Boise,organic,2015
1.45,07/19,Boise,organic,2015
2.05,07/12,Boise,organic,2015
2.18,07/05,Boise,organic,2015
1.58,06/28,Boise,organic,2015
1.49,06/21,Boise,organic,2015
2.18,06/14,Boise,organic,2015
2.24,06/07,Boise,organic,2015
1.54,05/31,Boise,organic,2015
1.97,05/24,Boise,organic,2015
1.92,05/17,Boise,organic,2015
1.71,05/10,Boise,organic,2015
1.55,05/03,Boise,organic,2015
1.36,04/26,Boise,organic,2015
1.69,04/19,Boise,organic,2015
1.41,04/12,Boise,organic,2015
1.83,04/05,Boise,organic,2015
1.52,03/29,Boise,organic,2015
1.51,03/22,Boise,organic,2015
1.63,03/15,Boise,organic,2015
1.5,03/08,Boise,organic,2015
1.68,03/01,Boise,organic,2015
1.75,02/22,Boise,organic,2015
1.62,02/15,Boise,organic,2015
1.35,02/08,Boise,organic,2015
1.43,02/01,Boise,organic,2015
1.82,01/25,Boise,organic,2015
1.44,01/18,Boise,organic,2015
1.44,01/11,Boise,organic,2015
1.64,01/04,Boise,organic,2015
1.48,12/27,Boston,organic,2015
1.41,12/20,Boston,organic,2015
1.55,12/13,Boston,organic,2015
1.29,12/06,Boston,organic,2015
1.28,11/29,Boston,organic,2015
1.27,11/22,Boston,organic,2015
1.15,11/15,Boston,organic,2015
1.22,11/08,Boston,organic,2015
1.3,11/01,Boston,organic,2015
1.27,10/25,Boston,organic,2015
1.26,10/18,Boston,organic,2015
1.26,10/11,Boston,organic,2015
1.28,10/04,Boston,organic,2015
2.0,09/27,Boston,organic,2015
2.01,09/20,Boston,organic,2015
2.0,09/13,Boston,organic,2015
1.97,09/06,Boston,organic,2015
2.03,08/30,Boston,organic,2015
2.0,08/23,Boston,organic,2015
2.09,08/16,Boston,organic,2015
2.02,08/09,Boston,organic,2015
2.12,08/02,Boston,organic,2015
2.02,07/26,Boston,organic,2015
2.05,07/19,Boston,organic,2015
2.19,07/12,Boston,organic,2015
2.13,07/05,Boston,organic,2015
2.03,06/28,Boston,organic,2015
2.06,06/21,Boston,organic,2015
2.03,06/14,Boston,organic,2015
2.0,06/07,Boston,organic,2015
1.94,05/31,Boston,organic,2015
1.94,05/24,Boston,organic,2015
1.91,05/17,Boston,organic,2015
2.02,05/10,Boston,organic,2015
1.82,05/03,Boston,organic,2015
1.86,04/26,Boston,organic,2015
1.94,04/19,Boston,organic,2015
1.86,04/12,Boston,organic,2015
1.91,04/05,Boston,organic,2015
1.98,03/29,Boston,organic,2015
1.94,03/22,Boston,organic,2015
1.99,03/15,Boston,organic,2015
1.91,03/08,Boston,organic,2015
1.85,03/01,Boston,organic,2015
1.74,02/22,Boston,organic,2015
1.91,02/15,Boston,organic,2015
1.91,02/08,Boston,organic,2015
1.78,02/01,Boston,organic,2015
2.01,01/25,Boston,organic,2015
2.0,01/18,Boston,organic,2015
1.94,01/11,Boston,organic,2015
1.83,01/04,Boston,organic,2015
1.47,12/27,BuffaloRochester,organic,2015
1.5,12/20,BuffaloRochester,organic,2015
1.45,12/13,BuffaloRochester,organic,2015
1.57,12/06,BuffaloRochester,organic,2015
1.6,11/29,BuffaloRochester,organic,2015
1.57,11/22,BuffaloRochester,organic,2015
1.59,11/15,BuffaloRochester,organic,2015
1.55,11/08,BuffaloRochester,organic,2015
1.55,11/01,BuffaloRochester,organic,2015
1.55,10/25,BuffaloRochester,organic,2015
1.57,10/18,BuffaloRochester,organic,2015
1.52,10/11,BuffaloRochester,organic,2015
1.55,10/04,BuffaloRochester,organic,2015
1.58,09/27,BuffaloRochester,organic,2015
1.56,09/20,BuffaloRochester,organic,2015
1.55,09/13,BuffaloRochester,organic,2015
1.53,09/06,BuffaloRochester,organic,2015
1.62,08/30,BuffaloRochester,organic,2015
1.57,08/23,BuffaloRochester,organic,2015
1.89,08/16,BuffaloRochester,organic,2015
1.6,08/09,BuffaloRochester,organic,2015
1.86,08/02,BuffaloRochester,organic,2015
1.87,07/26,BuffaloRochester,organic,2015
1.91,07/19,BuffaloRochester,organic,2015
2.02,07/12,BuffaloRochester,organic,2015
1.91,07/05,BuffaloRochester,organic,2015
1.83,06/28,BuffaloRochester,organic,2015
1.9,06/21,BuffaloRochester,organic,2015
1.83,06/14,BuffaloRochester,organic,2015
1.8,06/07,BuffaloRochester,organic,2015
1.79,05/31,BuffaloRochester,organic,2015
1.8,05/24,BuffaloRochester,organic,2015
1.79,05/17,BuffaloRochester,organic,2015
1.85,05/10,BuffaloRochester,organic,2015
1.81,05/03,BuffaloRochester,organic,2015
1.84,04/26,BuffaloRochester,organic,2015
1.83,04/19,BuffaloRochester,organic,2015
1.79,04/12,BuffaloRochester,organic,2015
1.8,04/05,BuffaloRochester,organic,2015
1.83,03/29,BuffaloRochester,organic,2015
1.93,03/22,BuffaloRochester,organic,2015
1.79,03/15,BuffaloRochester,organic,2015
1.56,03/08,BuffaloRochester,organic,2015
1.55,03/01,BuffaloRochester,organic,2015
1.53,02/22,BuffaloRochester,organic,2015
1.65,02/15,BuffaloRochester,organic,2015
1.54,02/08,BuffaloRochester,organic,2015
1.55,02/01,BuffaloRochester,organic,2015
1.6,01/25,BuffaloRochester,organic,2015
1.64,01/18,BuffaloRochester,organic,2015
1.59,01/11,BuffaloRochester,organic,2015
1.73,01/04,BuffaloRochester,organic,2015
1.45,12/27,California,organic,2015
1.35,12/20,California,organic,2015
1.39,12/13,California,organic,2015
1.48,12/06,California,organic,2015
1.75,11/29,California,organic,2015
1.6,11/22,California,organic,2015
1.59,11/15,California,organic,2015
1.66,11/08,California,organic,2015
1.6,11/01,California,organic,2015
1.64,10/25,California,organic,2015
2.01,10/18,California,organic,2015
2.07,10/11,California,organic,2015
2.0,10/04,California,organic,2015
1.85,09/27,California,organic,2015
1.92,09/20,California,organic,2015
1.97,09/13,California,organic,2015
1.99,09/06,California,organic,2015
1.98,08/30,California,organic,2015
1.85,08/23,California,organic,2015
1.96,08/16,California,organic,2015
2.03,08/09,California,organic,2015
1.99,08/02,California,organic,2015
1.93,07/26,California,organic,2015
1.89,07/19,California,organic,2015
1.8,07/12,California,organic,2015
1.67,07/05,California,organic,2015
1.67,06/28,California,organic,2015
1.69,06/21,California,organic,2015
1.68,06/14,California,organic,2015
1.67,06/07,California,organic,2015
1.5,05/31,California,organic,2015
1.5,05/24,California,organic,2015
1.49,05/17,California,organic,2015
1.4,05/10,California,organic,2015
1.48,05/03,California,organic,2015
1.5,04/26,California,organic,2015
1.52,04/19,California,organic,2015
1.5,04/12,California,organic,2015
1.52,04/05,California,organic,2015
1.53,03/29,California,organic,2015
1.3,03/22,California,organic,2015
1.52,03/15,California,organic,2015
1.48,03/08,California,organic,2015
1.15,03/01,California,organic,2015
1.41,02/22,California,organic,2015
1.52,02/15,California,organic,2015
1.35,02/08,California,organic,2015
1.11,02/01,California,organic,2015
1.3,01/25,California,organic,2015
1.24,01/18,California,organic,2015
1.1,01/11,California,organic,2015
1.24,01/04,California,organic,2015
1.9,12/27,Charlotte,organic,2015
1.9,12/20,Charlotte,organic,2015
1.9,12/13,Charlotte,organic,2015
1.95,12/06,Charlotte,organic,2015
1.96,11/29,Charlotte,organic,2015
1.97,11/22,Charlotte,organic,2015
,11/15,Charlotte,organic,2015
1.91,11/08,Charlotte,organic,2015
1.92,11/01,Charlotte,organic,2015
1.93,10/25,Charlotte,organic,2015
1.97,10/18,Charlotte,organic,2015
1.94,10/11,Charlotte,organic,2015
2.06,10/04,Charlotte,organic,2015
2.16,09/27,Charlotte,organic,2015
1.97,09/20,Charlotte,organic,2015
2.02,09/13,Charlotte,organic,2015
2.01,09/06,Charlotte,organic,2015
2.01,08/30,Charlotte,organic,2015
2.06,08/23,Charlotte,organic,2015
2.04,08/16,Charlotte,organic,2015
1.98,08/09,Charlotte,organic,2015
2.11,08/02,Charlotte,organic,2015
2.08,07/26,Charlotte,organic,2015
2.05,07/19,Charlotte,organic,2015
2.13,07/12,Charlotte,organic,2015
2.16,07/05,Charlotte,organic,2015
2.15,06/28,Charlotte,organic,2015
2.19,06/21,Charlotte,organic,2015
2.06,06/14,Charlotte,organic,2015
2.02,06/07,Charlotte,organic,2015
2.14,05/31,Charlotte,organic,2015
2.07,05/24,Charlotte,organic,2015
1.26,05/17,Charlotte,organic,2015
2.05,05/10,Charlotte,organic,2015
1.8,05/03,Charlotte,organic,2015
2.18,04/26,Charlotte,organic,2015
2.06,04/19,Charlotte,organic,2015
2.12,04/12,Charlotte,organic,2015
2.08,04/05,Charlotte,organic,2015
1.96,03/29,Charlotte,organic,2015
1.9,03/22,Charlotte,organic,2015
1.87,03/15,Charlotte,organic,2015
1.84,03/08,Charlotte,organic,2015
1.9,03/01,Charlotte,organic,2015
1.9,02/22,Charlotte,organic,2015
1.92,02/15,Charlotte,organic,2015
1.87,02/08,Charlotte,organic,2015
1.93,02/01,Charlotte,organic,2015
2.29,01/25,Charlotte,organic,2015
2.15,01/18,Charlotte,organic,2015
2.29,01/11,Charlotte,organic,2015
2.13,01/04,Charlotte,organic,2015
1.58,12/27,Chicago,organic,2015
1.58,12/20,Chicago,organic,2015
1.59,12/13,Chicago,organic,2015
1.59,12/06,Chicago,organic,2015
1.59,11/29,Chicago,organic,2015
1.57,11/22,Chicago,organic,2015
1.58,11/15,Chicago,organic,2015
1.59,11/08,Chicago,organic,2015
1.6,11/01,Chicago,organic,2015
1.61,10/25,Chicago,organic,2015
1.79,10/18,Chicago,organic,2015
1.69,10/11,Chicago,organic,2015
1.78,10/04,Chicago,organic,2015
1.67,09/27,Chicago,organic,2015
1.6,09/20,Chicago,organic,2015
1.61,09/13,Chicago,organic,2015
1.61,09/06,Chicago,organic,2015
1.6,08/30,Chicago,organic,2015
1.61,08/23,Chicago,organic,2015
1.62,08/16,Chicago,organic,2015
1.62,08/09,Chicago,organic,2015
1.59,08/02,Chicago,organic,2015
1.62,07/26,Chicago,organic,2015
1.65,07/19,Chicago,organic,2015
1.66,07/12,Chicago,organic,2015
1.67,07/05,Chicago,organic,2015
1.68,06/28,Chicago,organic,2015
1.82,06/21,Chicago,organic,2015
1.87,06/14,Chicago,organic,2015
1.85,06/07,Chicago,organic,2015
1.85,05/31,Chicago,organic,2015
1.86,05/24,Chicago,organic,2015
1.57,05/17,Chicago,organic,2015
1.47,05/10,Chicago,organic,2015
1.51,05/03,Chicago,organic,2015
1.51,04/26,Chicago,organic,2015
1.55,04/19,Chicago,organic,2015
1.3,04/12,Chicago,organic,2015
1.65,04/05,Chicago,organic,2015
1.66,03/29,Chicago,organic,2015
1.67,03/22,Chicago,organic,2015
1.64,03/15,Chicago,organic,2015
1.62,03/08,Chicago,organic,2015
1.82,03/01,Chicago,organic,2015
1.83,02/22,Chicago,organic,2015
1.81,02/15,Chicago,organic,2015
1.78,02/08,Chicago,organic,2015
1.52,02/01,Chicago,organic,2015
1.83,01/25,Chicago,organic,2015
1.81,01/18,Chicago,organic,2015
1.79,01/11,Chicago,organic,2015
1.49,01/04,Chicago,organic,2015
1.43,12/27,CincinnatiDayton,organic,2015
1.47,12/20,CincinnatiDayton,organic,2015
1.32,12/13,CincinnatiDayton,organic,2015
1.48,12/06,CincinnatiDayton,organic,2015
1.5,11/29,CincinnatiDayton,organic,2015
1.36,11/22,CincinnatiDayton,organic,2015
1.2,11/15,CincinnatiDayton,organic,2015
1.3,11/08,CincinnatiDayton,organic,2015
1.61,11/01,CincinnatiDayton,organic,2015
1.56,10/25,CincinnatiDayton,organic,2015
1.5,10/18,CincinnatiDayton,organic,2015
1.66,10/11,CincinnatiDayton,organic,2015
1.54,10/04,CincinnatiDayton,organic,2015
1.46,09/27,CincinnatiDayton,organic,2015
1.58,09/20,CincinnatiDayton,organic,2015
1.59,09/13,CincinnatiDayton,organic,2015
1.62,09/06,CincinnatiDayton,organic,2015
1.56,08/30,CincinnatiDayton,organic,2015
1.58,08/23,CincinnatiDayton,organic,2015
1.66,08/16,CincinnatiDayton,organic,2015
1.59,08/09,CincinnatiDayton,organic,2015
1.62,08/02,CincinnatiDayton,organic,2015
1.63,07/26,CincinnatiDayton,organic,2015
1.66,07/19,CincinnatiDayton,organic,2015
1.56,07/12,CincinnatiDayton,organic,2015
1.59,07/05,CincinnatiDayton,organic,2015
1.49,06/28,CincinnatiDayton,organic,2015
1.39,06/21,CincinnatiDayton,organic,2015
1.34,06/14,CincinnatiDayton,organic,2015
1.46,06/07,CincinnatiDayton,organic,2015
1.47,05/31,CincinnatiDayton,organic,2015
1.48,05/24,CincinnatiDayton,organic,2015
1.27,05/17,CincinnatiDayton,organic,2015
1.43,05/10,CincinnatiDayton,organic,2015
1.42,05/03,CincinnatiDayton,organic,2015
1.36,04/26,CincinnatiDayton,organic,2015
1.46,04/19,CincinnatiDayton,organic,2015
1.49,04/12,CincinnatiDayton,organic,2015
1.22,04/05,CincinnatiDayton,organic,2015
1.27,03/29,CincinnatiDayton,organic,2015
1.25,03/22,CincinnatiDayton,organic,2015
1.22,03/15,CincinnatiDayton,organic,2015
1.17,03/08,CincinnatiDayton,organic,2015
1.24,03/01,CincinnatiDayton,organic,2015
1.23,02/22,CincinnatiDayton,organic,2015
1.22,02/15,CincinnatiDayton,organic,2015
1.24,02/08,CincinnatiDayton,organic,2015
1.19,02/01,CincinnatiDayton,organic,2015
1.26,01/25,CincinnatiDayton,organic,2015
1.37,01/18,CincinnatiDayton,organic,2015
1.32,01/11,CincinnatiDayton,organic,2015
1.34,01/04,CincinnatiDayton,organic,2015
1.53,12/27,Columbus,organic,2015
1.67,12/20,Columbus,organic,2015
1.59,12/13,Columbus,organic,2015
1.52,12/06,Columbus,organic,2015
1.48,11/29,Columbus,organic,2015
1.48,11/22,Columbus,organic,2015
1.48,11/15,Columbus,organic,2015
1.4,11/08,Columbus,organic,2015
1.47,11/01,Columbus,organic,2015
1.44,10/25,Columbus,organic,2015
1.36,10/18,Columbus,organic,2015
1.27,10/11,Columbus,organic,2015
1.49,10/04,Columbus,organic,2015
1.67,09/27,Columbus,organic,2015
1.82,09/20,Columbus,organic,2015
1.74,09/13,Columbus,organic,2015
1.64,09/06,Columbus,organic,2015
1.48,08/30,Columbus,organic,2015
1.66,08/23,Columbus,organic,2015
2.08,08/16,Columbus,organic,2015
1.98,08/09,Columbus,organic,2015
1.8,08/02,Columbus,organic,2015
1.31,07/26,Columbus,organic,2015
1.46,07/19,Columbus,organic,2015
1.01,07/12,Columbus,organic,2015
1.31,07/05,Columbus,organic,2015
1.35,06/28,Columbus,organic,2015
1.35,06/21,Columbus,organic,2015
1.5,06/14,Columbus,organic,2015
1.21,06/07,Columbus,organic,2015
1.49,05/31,Columbus,organic,2015
1.51,05/24,Columbus,organic,2015
1.21,05/17,Columbus,organic,2015
0.81,05/10,Columbus,organic,2015
0.89,05/03,Columbus,organic,2015
1.57,04/26,Columbus,organic,2015
1.47,04/19,Columbus,organic,2015
1.66,04/12,Columbus,organic,2015
1.38,04/05,Columbus,organic,2015
1.79,03/29,Columbus,organic,2015
1.91,03/22,Columbus,organic,2015
1.65,03/15,Columbus,organic,2015
1.84,03/08,Columbus,organic,2015
1.86,03/01,Columbus,organic,2015
1.79,02/22,Columbus,organic,2015
1.64,02/15,Columbus,organic,2015
1.78,02/08,Columbus,organic,2015
1.63,02/01,Columbus,organic,2015
1.67,01/25,Columbus,organic,2015
1.84,01/18,Columbus,organic,2015
1.68,01/11,Columbus,organic,2015
1.44,01/04,Columbus,organic,2015
1.33,12/27,DallasFtWorth,organic,2015
1.38,12/20,DallasFtWorth,organic,2015
1.43,12/13,DallasFtWorth,organic,2015
1.48,12/06,DallasFtWorth,organic,2015
1.46,11/29,DallasFtWorth,organic,2015
1.46,11/22,DallasFtWorth,organic,2015
1.36,11/15,DallasFtWorth,organic,2015
1.46,11/08,DallasFtWorth,organic,2015
1.41,11/01,DallasFtWorth,organic,2015
1.48,10/25,DallasFtWorth,organic,2015
1.39,10/18,DallasFtWorth,organic,2015
1.48,10/11,DallasFtWorth,organic,2015
1.49,10/04,DallasFtWorth,organic,2015
1.48,09/27,DallasFtWorth,organic,2015
1.47,09/20,DallasFtWorth,organic,2015
1.48,09/13,DallasFtWorth,organic,2015
1.46,09/06,DallasFtWorth,organic,2015
1.36,08/30,DallasFtWorth,organic,2015
1.36,08/23,DallasFtWorth,organic,2015
1.45,08/16,DallasFtWorth,organic,2015
1.4,08/09,DallasFtWorth,organic,2015
1.31,08/02,DallasFtWorth,organic,2015
1.14,07/26,DallasFtWorth,organic,2015
1.29,07/19,DallasFtWorth,organic,2015
1.27,07/12,DallasFtWorth,organic,2015
1.3,07/05,DallasFtWorth,organic,2015
1.33,06/28,DallasFtWorth,organic,2015
1.37,06/21,DallasFtWorth,organic,2015
1.35,06/14,DallasFtWorth,organic,2015
1.35,06/07,DallasFtWorth,organic,2015
1.38,05/31,DallasFtWorth,organic,2015
1.36,05/24,DallasFtWorth,organic,2015
1.35,05/17,DallasFtWorth,organic,2015
1.39,05/10,DallasFtWorth,organic,2015
1.37,05/03,DallasFtWorth,organic,2015
1.34,04/26,DallasFtWorth,organic,2015
1.35,04/19,DallasFtWorth,organic,2015
1.39,04/12,DallasFtWorth,organic,2015
1.36,04/05,DallasFtWorth,organic,2015
1.36,03/29,DallasFtWorth,organic,2015
1.29,03/22,DallasFtWorth,organic,2015
1.34,03/15,DallasFtWorth,organic,2015
1.39,03/08,DallasFtWorth,organic,2015
1.29,03/01,DallasFtWorth,organic,2015
1.38,02/22,DallasFtWorth,organic,2015
1.41,02/15,DallasFtWorth,organic,2015
1.35,02/08,DallasFtWorth,organic,2015
1.24,02/01,DallasFtWorth,organic,2015
1.34,01/25,DallasFtWorth,organic,2015
1.28,01/18,DallasFtWorth,organic,2015
1.35,01/11,DallasFtWorth,organic,2015
1.35,01/04,DallasFtWorth,organic,2015
1.43,12/27,Denver,organic,2015
1.35,12/20,Denver,organic,2015
1.36,12/13,Denver,organic,2015
0.92,12/06,Denver,organic,2015
0.88,11/29,Denver,organic,2015
1.39,11/22,Denver,organic,2015
1.33,11/15,Denver,organic,2015
1.14,11/08,Denver,organic,2015
1.26,11/01,Denver,organic,2015
1.27,10/25,Denver,organic,2015
1.3,10/18,Denver,organic,2015
1.28,10/11,Denver,organic,2015
1.25,10/04,Denver,organic,2015
1.35,09/27,Denver,organic,2015
1.36,09/20,Denver,organic,2015
1.36,09/13,Denver,organic,2015
1.43,09/06,Denver,organic,2015
1.45,08/30,Denver,organic,2015
1.46,08/23,Denver,organic,2015
1.45,08/16,Denver,organic,2015
1.44,08/09,Denver,organic,2015
1.43,08/02,Denver,organic,2015
1.43,07/26,Denver,organic,2015
1.45,07/19,Denver,organic,2015
1.44,07/12,Denver,organic,2015
1.42,07/05,Denver,organic,2015
1.44,06/28,Denver,organic,2015
1.43,06/21,Denver,organic,2015
1.44,06/14,Denver,organic,2015
1.44,06/07,Denver,organic,2015
1.43,05/31,Denver,organic,2015
1.43,05/24,Denver,organic,2015
1.22,05/17,Denver,organic,2015
1.23,05/10,Denver,organic,2015
1.03,05/03,Denver,organic,2015
1.03,04/26,Denver,organic,2015
1.44,04/19,Denver,organic,2015
1.42,04/12,Denver,organic,2015
1.42,04/05,Denver,organic,2015
1.44,03/29,Denver,organic,2015
1.39,03/22,Denver,organic,2015
1.12,03/15,Denver,organic,2015
1.09,03/08,Denver,organic,2015
1.27,03/01,Denver,organic,2015
1.4,02/22,Denver,organic,2015
1.44,02/15,Denver,organic,2015
1.4,02/08,Denver,organic,2015
1.29,02/01,Denver,organic,2015
1.33,01/25,Denver,organic,2015
1.1,01/18,Denver,organic,2015
1.28,01/11,Denver,organic,2015
1.42,01/04,Denver,organic,2015
1.61,12/27,Detroit,organic,2015
1.8,12/20,Detroit,organic,2015
1.53,12/13,Detroit,organic,2015
1.8,12/06,Detroit,organic,2015
1.81,11/29,Detroit,organic,2015
1.84,11/22,Detroit,organic,2015
1.84,11/15,Detroit,organic,2015
1.74,11/08,Detroit,organic,2015
1.85,11/01,Detroit,organic,2015
1.8,10/25,Detroit,organic,2015
1.65,10/18,Detroit,organic,2015
1.61,10/11,Detroit,organic,2015
1.81,10/04,Detroit,organic,2015
1.71,09/27,Detroit,organic,2015
1.86,09/20,Detroit,organic,2015
1.81,09/13,Detroit,organic,2015
1.47,09/06,Detroit,organic,2015
1.32,08/30,Detroit,organic,2015
1.43,08/23,Detroit,organic,2015
1.74,08/16,Detroit,organic,2015
